,id,biskvit_id,short_name,address,city,scheduleFl,scheduleJurl,latitude,longitude,vip_zone,vip_office,ramp,person,juridical,prime,broker,ibs
0,17000002,5128,ДО «Воронцовский» Филиала в г. Москве,"г. Москва, ул. Воронцовская, д. 43, стр. 1",Москва,Не обслуживает ФЛ,"пн-чт: 09:00-18:00 пт: 09:00-17:00 сб, вс: выходной",55.733057,37.66495,0,0,0,0,1,0,0,0
1,29000222,2825,ДО «Краснопресненский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Красная Пресня, д.11",Москва,"пн-пт: 10:00-19:00 сб, вс: выходной",Не обслуживает ЮЛ,55.761188,37.572324,0,1,1,1,0,0,1,1
2,29000057,0710,ДО «Преображенский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Большая Черкизовская, д. 12, корп. 1",Москва,"пн-пт: 10:00-19:00 сб, вс: выходной","пн-чт: 10:00-19:00 пт: 10:00-18:00 сб, вс: выходной",55.797078,37.725388,1,0,0,1,1,0,1,0
3,29000162,0630,ДО «Текстильщики» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Люблинская, д. 4, корп. 1",Москва,"пн-пт: 10.00-19.00 сб, вс: выходной",Не обслуживает ЮЛ,55.707841,37.729925,0,0,0,1,0,0,0,0
4,29000167,0400,ДО «Тверской» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Тверская, д. 6/1, стр. 7",Москва,"пн-пт: 10:00-19:00 сб, вс: выходной","пн-чт: 10:00-19:00 пт: 10:00-18:00 сб, вс: выходной",55.760256,37.611446,1,0,0,1,1,0,1,1
5,29000165,1030,"ДО «Щелковское шоссе, 69» Филиала № 7701 Банка ВТБ (ПАО)","г. Москва, Щелковское шоссе, д. 69",Москва,пн-пт: 09:00-20:00 сб: 10:00-17:00 вс: выходной,"пн-чт: 09:00-18:00 пт: 09:00-17:00 сб, вс: выходной",55.810638,37.794864,0,0,0,1,1,0,0,0
6,29000328,2601,ДО «На Можайском шоссе» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, Можайское ш., д. 45Б",Москва,"пн-пт: 10:00-19:00 сб, вс: выходной",Не обслуживает ЮЛ,55.716448,37.40698,0,0,1,1,0,0,0,0
7,29000087,5110,ДО «Бульвар Рокоссовского» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Ивантеевская, д. 23",Москва,пн-пт: 10:00-19:00 сб: 10:00-17:00 вс: выходной,Не обслуживает ЮЛ,55.815701,37.731847,1,0,1,1,0,0,1,0
8,29000022,0927,ДО «Гагаринский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, Ленинский пр-т, д. 64",Москва,"пн-пт: 10:00-19:00 сб, вс: выходной","пн-чт: 10:00-19:00 пт: 10:00-18:00 сб, вс: выходной",55.692475,37.551726,1,0,1,1,1,0,1,0
9,29000103,1130,ДО «Кузнецкий мост» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Рождественка, д. 8/15, стр. 3",Москва,"пн-пт: 10:00-19:00 cб, вс: выходной",Не обслуживает ЮЛ,55.762399,37.62395,0,1,1,1,0,0,1,1
